date,ADS_Index
20200901,2.01568
20200902,1.97215
20200903,1.93099
20200904,1.89219
20200905,1.85572
20200906,1.82157
20200907,1.78785
20200908,1.75452
20200909,1.72159
20200910,1.68903
20200911,1.65684
20200912,1.62501
20200913,1.59352
20200914,1.56359
20200915,1.53522
20200916,1.50839
20200917,1.48309
20200918,1.45931
20200919,1.43705
20200920,1.4163
20200921,1.39425
20200922,1.3709
20200923,1.34623
20200924,1.32024
20200925,1.29292
20200926,1.26426
20200927,1.23424
20200928,1.20518
20200929,1.17705
20200930,1.14986
20201001,1.12358
20201002,1.09714
20201003,1.07052
20201004,1.04372
20201005,1.01955
20201006,0.998001
20201007,0.97907
20201008,0.962748
20201009,0.949028
20201010,0.937906
20201011,0.929376
20201012,0.91951
20201013,0.908304
20201014,0.895753
20201015,0.881852
20201016,0.866597
20201017,0.849982
20201018,0.832
20201019,0.812902
20201020,0.79268
20201021,0.771328
20201022,0.748836
20201023,0.725197
20201024,0.700401
20201025,0.674438
20201026,0.648365
20201027,0.62217
20201028,0.595844
20201029,0.569376
20201030,0.542758
20201031,0.515978
20201101,0.489026
20201102,0.46145
20201103,0.433241
20201104,0.404386
20201105,0.374876
20201106,0.344699
20201107,0.313843
20201108,0.282297
20201109,0.251636
20201110,0.221849
20201111,0.192924
20201112,0.164851
20201113,0.137619
20201114,0.111217
20201115,0.0856348
20201116,0.0632602
20201117,0.0440842
20201118,0.0280997
20201119,0.0153005
20201120,0.00568173
20201121,-0.000760264
20201122,-0.00402794
20201123,-0.00902782
20201124,-0.0157618
20201125,-0.0242325
20201126,-0.0344431
20201127,-0.0463974
20201128,-0.0601001
20201129,-0.0755564
20201130,-0.0842588
20201201,-0.0862107
20201202,-0.0817883
20201203,-0.0709897
20201204,-0.0538111
20201205,-0.0302457
20201206,-0.000284659
20201207,0.0307632
20201208,0.0629096
20201209,0.096167
20201210,0.130548
20201211,0.166065
20201212,0.202733
20201213,0.240565
20201214,0.275862
20201215,0.308639
20201216,0.338907
20201217,0.366679
20201218,0.391964
20201219,0.414773
20201220,0.435114
20201221,0.454226
20201222,0.472117
20201223,0.488792
20201224,0.504259
20201225,0.518523
20201226,0.53159
20201227,0.543465
20201228,0.557335
20201229,0.573204
20201230,0.591079
20201231,0.610967
20210101,0.632875
20210102,0.651168
20210103,0.665852
20210104,0.679529
20210105,0.692205
20210106,0.703883
20210107,0.714569
20210108,0.724266
20210109,0.732979
20210110,0.74071
20210111,0.74162
20210112,0.735708
20210113,0.722972
20210114,0.703408
20210115,0.677008
20210116,0.643761
20210117,0.603657
20210118,0.556636
20210119,0.502681
20210120,0.441772
20210121,0.373886
20210122,0.298996
20210123,0.217075
20210124,0.12809
20210125,0.0340762
20210126,-0.0650034
20210127,-0.169186
20210128,-0.278512
20210129,-0.393022
20210130,-0.51276
20210131,-0.637772
20210201,-0.767968
20210202,-0.885618
20210203,-0.990768
20210204,-1.08346
20210205,-1.16372
20210206,-1.23159
20210207,-1.28709
20210208,-1.33112
20210209,-1.36371
20210210,-1.38486
20210211,-1.39459
20210212,-1.3929
20210213,-1.37978
20210214,-1.35524
20210215,-1.32328
20210216,-1.28388
20210217,-1.23705
20210218,-1.18274
20210219,-1.12096
20210220,-1.05167
20210221,-0.97484
20210222,-0.88594
20210223,-0.784934
20210224,-0.671782
20210225,-0.546442
20210226,-0.408866
20210227,-0.259001
20210228,-0.0967912
20210301,0.0773678
20210302,0.243496
20210303,0.401657
20210304,0.55191
20210305,0.694313
20210306,0.82892
20210307,0.955783
20210308,1.0758
20210309,1.18902
20210310,1.29548
20210311,1.39523
20210312,1.4883
20210313,1.57472
20210314,1.65454
20210315,1.72436
20210316,1.78421
20210317,1.83412
20210318,1.87409
20210319,1.90415
20210320,1.92431
20210321,1.93457
20210322,1.93948
20210323,1.93903
20210324,1.93323
20210325,1.92207
20210326,1.90555
20210327,1.88365
20210328,1.85639
20210329,1.82178
20210330,1.77981
20210331,1.73048
20210401,1.67375
20210402,1.61935
20210403,1.56724
20210404,1.51742
20210405,1.46707
20210406,1.41618
20210407,1.36472
20210408,1.31268
20210409,1.26004
20210410,1.20678
20210411,1.15288
20210412,1.10127
20210413,1.05194
20210414,1.00486
20210415,0.960017
20210416,0.917398
20210417,0.876983
20210418,0.838757
20210419,0.80325
20210420,0.77045
20210421,0.740343
20210422,0.712917
20210423,0.688163
20210424,0.666071
20210425,0.646633
20210426,0.626925
20210427,0.606941
20210428,0.586673
20210429,0.566114
20210430,0.545254
20210501,0.524088
20210502,0.50268
20210503,0.482461
20210504,0.463422
20210505,0.445557
20210506,0.428858
20210507,0.41332
20210508,0.398936
20210509,0.3857
20210510,0.373392
20210511,0.362006
20210512,0.351538
20210513,0.341985
20210514,0.333341
20210515,0.325605
20210516,0.318773
20210517,0.31285
20210518,0.307834
20210519,0.303723
20210520,0.300515
20210521,0.29821
20210522,0.296806
20210523,0.296302
20210524,0.297206
20210525,0.299516
20210526,0.303234
20210527,0.308362
20210528,0.314901
20210529,0.322853
20210530,0.332223
20210531,0.343316
20210601,0.356139
20210602,0.368999
20210603,0.381903
20210604,0.394856
20210605,0.407862
20210606,0.420926
20210607,0.434727
20210608,0.44927
20210609,0.46456
20210610,0.480604
20210611,0.497408
20210612,0.514977
20210613,0.53332
20210614,0.55184
20210615,0.570544
20210616,0.58944
20210617,0.608535
20210618,0.627836
20210619,0.647351
20210620,0.667086
20210621,0.685091
20210622,0.70137
20210623,0.715932
20210624,0.72878
20210625,0.739921
20210626,0.749358
20210627,0.757095
20210628,0.765231
20210629,0.773768
20210630,0.78271
20210701,0.79206
20210702,0.799919
