date,BTC-USD
20200901,11970.478515625
20200902,11414.0341796875
20200903,10245.296875
20200904,10511.8134765625
20200907,10369.5634765625
20200908,10131.5166015625
20200909,10242.34765625
20200910,10363.138671875
20200911,10400.9150390625
20200914,10680.837890625
20200915,10796.951171875
20200916,10974.9052734375
20200917,10948.990234375
20200918,10944.5859375
20200921,10462.259765625
20200922,10538.4599609375
20200923,10246.1865234375
20200924,10760.06640625
20200925,10692.716796875
20200928,10709.65234375
20200929,10844.640625
20200930,10784.4912109375
20201001,10619.4521484375
20201002,10575.974609375
20201005,10793.33984375
20201006,10604.40625
20201007,10668.96875
20201008,10915.685546875
20201009,11064.4580078125
20201012,11555.36328125
20201013,11425.8994140625
20201014,11429.5068359375
20201015,11495.349609375
20201016,11322.123046875
20201019,11742.037109375
20201020,11916.3349609375
20201021,12823.689453125
20201022,12965.8916015625
20201023,12931.5390625
20201026,13075.248046875
20201027,13654.21875
20201028,13271.28515625
20201029,13437.8828125
20201030,13546.5224609375
20201102,13550.4892578125
20201103,13950.30078125
20201104,14133.70703125
20201105,15579.8486328125
20201106,15565.880859375
20201109,15332.3154296875
20201110,15290.90234375
20201111,15701.33984375
20201112,16276.34375
20201113,16317.80859375
20201116,16716.111328125
20201117,17645.40625
20201118,17804.005859375
20201119,17817.08984375
20201120,18621.314453125
20201123,18364.12109375
20201124,19107.46484375
20201125,18732.12109375
20201126,17150.623046875
20201127,17108.40234375
20201130,19625.8359375
20201201,18802.998046875
20201202,19201.091796875
20201203,19445.3984375
20201204,18699.765625
20201207,19191.630859375
20201208,18321.14453125
20201209,18553.916015625
20201210,18264.9921875
20201211,18058.904296875
20201214,19246.64453125
20201215,19417.076171875
20201216,21310.59765625
20201217,22805.162109375
20201218,23137.9609375
20201221,22803.08203125
20201222,23783.029296875
20201223,23241.345703125
20201224,23735.94921875
20201225,24664.791015625
20201228,27084.80859375
20201229,27362.4375
20201230,28840.953125
20201231,29001.720703125
20210101,29374.15234375
20210104,31971.9140625
20210105,33992.4296875
20210106,36824.36328125
20210107,39371.04296875
20210108,40797.609375
20210111,35566.65625
20210112,33922.9609375
20210113,37316.359375
20210114,39187.328125
20210115,36825.3671875
20210118,36630.07421875
20210119,36069.8046875
20210120,35547.75
20210121,30825.69921875
20210122,33005.76171875
20210125,32366.392578125
