date,Mkt-RF,SMB,HML,RMW,CMA,RF
20200901,0.92,0.19,-0.3,0.61,0.14,0.0
20200902,1.27,-0.26,-0.45,0.76,-0.41,0.0
20200903,-3.7,0.44,2.61,-0.09,-0.14,0.0
20200904,-0.87,0.35,2.06,0.8,0.87,0.0
20200908,-2.91,0.91,-0.29,-0.71,-0.61,0.0
20200909,2.07,-0.61,-2.0,-0.17,-0.2,0.0
20200910,-1.64,0.38,-0.06,-0.39,-0.37,0.0
20200911,-0.06,-0.62,0.89,0.23,0.47,0.0
20200914,1.59,1.03,-0.8,-0.82,0.0,0.0
20200915,0.57,-0.63,-1.44,0.12,-0.35,0.0
20200916,-0.39,1.22,1.31,-0.94,0.27,0.0
20200917,-0.85,0.47,0.2,0.07,0.64,0.0
20200918,-0.88,0.78,-0.21,-1.12,-0.47,0.0
20200921,-1.08,-2.69,-1.89,-0.49,-0.28,0.0
20200922,1.02,-0.47,-1.63,0.58,-0.5,0.0
20200923,-2.48,-0.66,0.16,0.2,-0.18,0.0
20200924,0.25,-0.19,0.38,0.52,0.11,0.0
20200925,1.72,-0.16,-1.35,-0.51,-0.63,0.0
20200928,1.66,0.88,1.05,0.4,0.18,0.0
20200929,-0.42,0.41,-1.34,-0.79,-0.58,0.0
20200930,0.79,-0.69,0.15,0.34,0.12,0.0
20201001,0.79,0.79,-0.54,-0.02,-0.58,0.0
20201002,-0.96,1.69,2.45,0.57,0.34,0.0
20201005,1.93,0.88,-0.1,-0.48,0.12,0.0
20201006,-1.28,0.84,0.26,-0.51,-0.05,0.0
20201007,1.84,0.49,0.22,-0.28,0.13,0.0
20201008,0.8,0.28,0.99,0.22,0.25,0.0
20201009,0.93,-0.33,-1.41,-0.18,-0.3,0.0
20201012,1.53,-1.01,-0.08,0.79,0.34,0.0
20201013,-0.41,-0.18,-1.73,-0.88,-0.98,0.0
20201014,-0.65,0.0,0.02,0.36,0.67,0.0
20201015,-0.08,1.17,1.15,0.17,0.19,0.0
20201016,-0.06,-0.13,0.06,-0.04,-0.12,0.0
20201019,-1.53,0.35,0.31,-0.35,-0.24,0.0
20201020,0.34,-0.09,1.26,0.55,0.17,0.0
20201021,-0.36,-0.47,0.41,0.53,-0.01,0.0
20201022,0.67,0.95,1.03,-0.58,-0.08,0.0
20201023,0.38,0.37,0.03,-0.14,-0.35,0.0
20201026,-1.85,-0.48,-0.39,-0.14,-0.02,0.0
20201027,-0.23,-0.63,-2.33,-0.41,-0.73,0.0
20201028,-3.41,0.18,0.58,-0.46,0.0,0.0
20201029,1.13,0.16,0.27,0.32,0.6,0.0
20201030,-1.45,-0.24,1.87,0.25,-0.09,0.0
20201102,1.17,0.87,0.98,0.42,0.4,0.0
20201103,1.93,1.01,-0.19,-0.18,0.02,0.0
20201104,2.25,-2.56,-5.02,-0.72,-1.71,0.0
20201105,2.13,1.04,0.52,0.36,0.55,0.0
20201106,0.01,-1.09,-0.93,-0.23,-0.11,0.0
20201109,0.86,2.82,6.73,0.8,0.83,0.0
20201110,-0.17,2.09,2.17,0.32,1.27,0.0
20201111,0.88,-1.09,-1.75,-0.64,-0.18,0.0
20201112,-0.94,-0.56,-1.19,-0.67,-0.23,0.0
20201113,1.31,0.93,1.14,0.59,0.43,0.0
20201116,1.22,1.25,1.99,0.71,0.87,0.0
20201117,-0.19,0.6,-0.01,-0.42,-0.42,0.0
20201118,-0.93,-0.06,0.01,0.07,-0.39,0.0
20201119,0.59,0.28,-0.76,-0.66,-0.2,0.0
20201120,-0.51,0.6,-0.6,-0.74,-0.11,0.0
20201123,0.83,1.4,1.56,0.35,0.05,0.0
20201124,1.56,0.51,2.77,0.53,0.51,0.0
20201125,0.03,-0.27,-1.33,-0.39,-0.54,0.0
20201127,0.43,0.15,-1.63,-0.77,-0.31,0.0
20201130,-0.53,-1.55,-2.07,-0.5,0.48,0.0
20201201,0.98,-0.08,0.53,1.07,0.49,0.0
20201202,0.11,0.21,1.08,0.38,0.59,0.0
20201203,0.18,0.55,-0.09,-0.29,0.19,0.0
20201204,1.02,1.59,0.83,-0.31,0.59,0.0
20201207,0.03,-0.06,-1.02,-0.56,-0.49,0.0
20201208,0.47,0.89,-0.7,-0.71,0.0,0.0
20201209,-1.03,0.31,1.28,0.86,0.29,0.0
20201210,0.24,0.93,-0.47,-1.53,-0.27,0.0
20201211,-0.2,-0.58,-0.71,-0.57,-0.55,0.0
20201214,-0.28,0.22,-1.53,-0.4,-0.8,0.0
20201215,1.28,1.15,0.36,0.44,0.55,0.0
20201216,0.17,-0.58,-0.37,0.03,-0.2,0.0
20201217,0.79,0.5,-0.7,-0.6,-0.21,0.0
20201218,-0.12,-0.19,-1.17,-0.4,-0.75,0.0
20201221,-0.23,0.23,-0.05,-1.02,0.31,0.0
20201222,0.06,0.84,-1.61,-0.84,-0.07,0.0
20201223,0.1,0.87,2.03,0.29,0.41,0.0
20201224,0.21,-0.44,-0.19,0.25,-0.07,0.0
20201228,0.46,-0.68,0.36,1.39,0.46,0.0
20201229,-0.4,-1.42,0.24,0.78,-0.29,0.0
20201230,0.27,1.06,0.03,-0.65,-0.05,0.0
20201231,0.39,-0.71,0.41,0.57,-0.24,0.0
20210104,-1.41,0.16,0.58,-0.64,0.1,0.0
20210105,0.86,1.32,0.49,0.36,0.55,0.0
20210106,0.79,3.15,3.94,0.06,0.53,0.0
20210107,1.76,0.02,-0.83,-1.5,-0.2,0.0
20210108,0.51,-1.01,-1.37,-0.43,-0.37,0.0
20210111,-0.51,0.54,1.26,-0.17,0.45,0.0
20210112,0.38,1.48,1.21,-0.45,0.42,0.0
20210113,0.07,-1.03,-0.46,-0.21,-0.05,0.0
20210114,-0.11,2.37,1.12,-1.01,0.43,0.0
20210115,-0.86,-0.74,-0.76,0.28,-0.47,0.0
20210119,0.92,0.75,-0.8,-0.7,0.09,0.0
20210120,1.26,-0.75,-1.08,0.62,-0.38,0.0
20210121,-0.04,-0.77,-0.94,0.84,0.38,0.0
20210122,-0.07,1.64,-0.12,-0.67,0.62,0.0
20210125,0.29,-0.28,-0.4,0.23,0.98,0.0
20210126,-0.32,-0.02,0.01,1.01,1.05,0.0
20210127,-2.53,1.19,1.56,0.59,2.46,0.0
20210128,0.92,-1.69,-0.91,-1.06,-2.26,0.0
20210129,-1.84,0.41,0.58,-0.75,0.38,0.0
20210201,1.73,0.74,-1.47,-0.23,-1.22,0.0
20210202,1.48,-0.79,-1.08,-1.02,-2.14,0.0
20210203,0.15,0.68,0.7,-0.11,0.17,0.0
20210204,1.23,0.6,0.37,-0.09,-0.22,0.0
20210205,0.58,0.94,-0.48,-0.73,0.41,0.0
20210208,0.96,2.25,0.39,-0.95,0.73,0.0
20210209,0.05,0.7,-0.17,-0.73,-0.49,0.0
20210210,-0.08,-0.45,0.61,0.21,-0.02,0.0
20210211,0.19,-0.35,-0.43,-0.3,-0.08,0.0
20210212,0.49,-0.13,0.49,-0.37,-0.05,0.0
20210216,-0.14,-0.24,1.89,0.15,-0.01,0.0
20210217,-0.21,-0.68,0.61,0.29,-0.14,0.0
20210218,-0.63,-1.48,-0.2,0.91,-0.44,0.0
20210219,0.16,2.04,0.72,-0.45,0.55,0.0
20210222,-1.13,0.72,3.16,1.7,0.86,0.0
20210223,-0.15,-1.03,0.89,1.17,-0.2,0.0
20210224,1.15,1.5,1.42,-0.31,0.33,0.0
20210225,-2.74,-0.92,0.92,0.99,0.42,0.0
20210226,-0.28,0.34,-1.58,-0.04,-0.37,0.0
20210301,2.63,1.11,0.23,-0.41,0.23,0.0
20210302,-1.05,-0.77,1.23,0.62,0.2,0.0
20210303,-1.57,0.64,3.56,1.67,1.05,0.0
20210304,-1.7,-1.11,1.71,1.29,0.44,0.0
20210305,1.85,0.36,0.61,0.97,0.51,0.0
20210308,-0.67,1.47,3.71,1.64,0.88,0.0
20210309,1.79,0.45,-3.23,-1.87,-0.47,0.0
20210310,0.68,1.2,1.82,-0.07,0.14,0.0
20210311,1.44,1.09,-2.02,-1.42,-0.81,0.0
20210312,0.1,0.53,1.3,0.64,0.59,0.0
20210315,0.7,-0.33,-1.29,0.21,0.08,0.0
