date,SP500,T10Y3M,DGS10,OBMMIJUMBO30YF,DEXUSEU,DEXJPUS,DEXUSUK,CBBTCUSD,CBETHUSD,T10YIE,DCOILBRENTEU,VIXCLS,DAAA,DBAA,AMERIBOR,T5YIE,BAMLH0A0HYM2,BAMLH0A0HYM2EY,DGS1,DCOILWTICO,DHHNGSP
20200101,,,,,,,,7174.32,130.05,,,,,,1.6046666699999999,,,,,,
20200102,3257.85,0.34,1.88,3.843,1.1166,108.43,1.3128,6945.01,126.8,1.8,67.05,12.47,3.0,3.86,1.6034512699999999,1.72,3.56,5.28,1.56,61.17,2.05
20200103,3234.85,0.28,1.8,3.908,1.1173,107.94,1.3091,7335.54,134.2,1.77,69.08,14.02,2.94,3.79,1.5994922900000001,1.69,3.61,5.25,1.55,63.0,2.06
20200104,,,,,,,,7353.5,134.35,,,,,,1.5994922900000001,,,,,,
20200105,,,,,,,,7348.69,135.23,,,,,,1.5994922900000001,,,,,,
20200106,3246.28,0.25,1.81,3.944,1.1187,108.36,1.3163,7773.48,144.28,1.75,70.25,13.85,3.01,3.83,1.59994121,1.69,3.57,5.23,1.54,63.27,2.1
20200107,3237.18,0.29,1.83,4.012,1.1138,108.53,1.3127,8169.95,143.13,1.74,68.74,13.79,3.02,3.86,1.59770208,1.67,3.54,5.21,1.53,62.7,2.17
20200108,3253.05,0.33,1.87,3.889,1.1117,109.03,1.311,8035.08,140.54,1.75,67.31,13.45,3.1,3.92,1.5866181799999999,1.68,3.5,5.22,1.55,59.65,2.09
20200109,3274.7,0.31,1.85,4.054,1.1106,109.47,1.3069,7813.78,137.74,1.74,66.58,12.54,3.04,3.88,1.58861092,1.67,3.49,5.19,1.54,59.56,2.05
20200110,3265.35,0.29,1.83,3.927,1.1119,109.5,1.306,8183.89,144.5,1.76,66.77,12.56,2.99,3.82,1.58425806,1.67,3.48,5.17,1.53,59.02,2.05
20200111,,,,,,,,8002.89,142.29,,,,,,1.58425806,,,,,,
20200112,,,,,,,,8192.66,146.85,,,,,,1.58425806,,,,,,
20200113,3288.13,0.28,1.85,3.909,1.1138,109.93,1.2983,8109.62,143.51,1.77,64.14,12.32,3.0,3.84,1.58998729,1.7,3.48,5.17,1.53,58.17,2.03
20200114,3283.15,0.25,1.82,3.998,1.113,110.05,1.3018,8757.18,163.66,1.77,64.45,12.39,3.0,3.81,1.58660692,1.7,3.45,5.12,1.53,58.34,2.15
20200115,3289.29,0.22,1.79,3.9,1.116,109.94,1.303,8831.86,166.56,1.75,63.29,12.42,2.97,3.8,1.59255853,1.67,3.44,5.08,1.54,57.86,2.01
20200116,3316.81,0.26,1.81,3.791,1.1131,110.16,1.3076,8727.22,164.59,1.74,64.63,12.32,2.99,3.81,1.5944467599999999,1.68,3.42,5.08,1.54,58.52,2.06
20200117,3329.62,0.28,1.84,3.922,1.1093,110.16,1.3029,8875.81,169.28,1.75,64.05,12.1,3.01,3.82,1.59669048,1.68,3.39,5.06,1.56,58.55,2.07
20200118,,,,,,,,8901.0,173.9,,,,,,1.59669048,,,,,,
20200119,,,,,,,,8710.41,167.06,,,,,,1.59669048,,,,,,
20200120,,,,,,,,8633.67,166.6,,64.63,,,,1.59669048,,3.38,5.06,,,
20200121,3320.79,0.22,1.78,3.824,1.1096,109.95,1.3047,8730.0,169.59,1.74,63.66,12.85,2.95,3.75,1.59640496,1.66,3.47,5.09,1.54,58.25,1.98
20200122,3321.75,0.22,1.77,3.839,1.1085,109.93,1.3136,8665.0,167.71,1.72,62.11,12.91,2.93,3.74,1.60114719,1.64,3.49,5.11,1.55,56.76,1.89
20200123,3325.54,0.19,1.74,3.924,1.1041,109.39,1.3104,8386.63,162.6,1.7,61.26,12.98,2.88,3.72,1.6020696700000001,1.64,3.58,5.18,1.55,55.51,1.95
20200124,3295.47,0.16,1.7,3.806,1.1026,109.31,1.3071,8424.96,162.35,1.68,59.34,14.56,2.82,3.68,1.60871762,1.62,3.68,5.23,1.55,54.09,1.91
20200125,,,,,,,,8304.04,159.18,,,,,,1.60871762,,,,,,
20200126,,,,,,,,8632.92,167.96,,,,,,1.60871762,,,,,,
20200127,3243.63,0.06,1.61,3.747,1.1019,108.95,1.3054,8903.24,169.9,1.63,58.54,18.23,2.79,3.65,1.60786967,1.56,4.03,5.5,1.53,53.09,2.03
20200128,3276.24,0.08,1.65,3.799,1.1008,109.17,1.2996,9417.64,176.23,1.65,59.37,16.28,2.87,3.69,1.60865443,1.59,3.86,5.37,1.53,53.33,1.96
20200129,3273.4,0.04,1.6,3.732,1.1004,109.15,1.3012,9270.0,172.7,1.64,59.46,16.39,2.81,3.65,1.60927941,1.58,3.83,5.3,1.51,53.29,1.93
20200130,3283.66,0.0,1.57,3.709,1.1032,108.75,1.3106,9493.61,184.73,1.64,57.72,15.49,2.82,3.65,1.65318538,1.59,3.95,5.38,1.48,52.19,1.94
20200131,3225.52,-0.04,1.51,3.735,1.1082,108.5,1.3195,9343.28,179.62,1.65,57.77,18.84,2.82,3.64,1.65636706,1.6,4.03,5.43,1.45,51.58,1.91
20200201,,,,,,,,9375.06,183.5,,,,,,1.65636706,,,,,,
