Date,NVDA,SMA,EMA,AAPL,AMD,AVGO,INTC,QCOM,ADS_Index,Mkt-RF,SMB,HML,RMW,CMA,RF,CBBTCUSD,CBETHUSD,SP500,NASDAQCOM,DJIA
230901,48.49033737182617,45.46489855448405,45.91250712285231,188.28829956054688,109.44999694824219,85.46248626708984,36.00776672363281,113.03157806396484,0.0603954,0.26,0.84,0.58,-0.03,-0.2,0.021,25802.02,1628.83,4515.77,14031.81,34837.71
230905,48.529319763183594,45.596047973632814,46.081333744809164,188.52679443359375,110.77999877929688,85.42821502685547,36.10612106323242,114.16786193847656,0.0707884,-0.54,-1.58,-0.86,-0.3,-0.47,0.021,25778.03,1633.25,4496.83,14020.95,34641.97
230906,47.0467643737793,45.64222602844238,46.1436195918395,181.77880859375,109.27999877929688,85.4380111694336,36.37167739868164,112.3360824584961,0.0714377,-0.71,0.01,-0.18,-0.45,0.1,0.021,25748.1,1632.05,4465.48,13872.47,34443.19
230907,46.227012634277344,45.66864280700683,46.14899978812582,176.46189880371094,106.58999633789062,83.94525909423828,37.551944732666016,104.2253189086914,0.0713303,-0.4,-0.69,0.03,-0.2,0.02,0.021,26267.36,1646.92,4451.14,13748.83,34500.73
230908,45.5582160949707,45.65783869425456,46.110884711148074,177.07806396484375,106.08999633789062,83.9961929321289,37.384735107421875,103.97062683105469,0.0704661,0.12,-0.51,0.4,0.28,0.01,0.021,25906.35,1636.26,4457.49,13761.53,34576.59
230911,45.16433334350586,45.605582809448244,46.04981712708711,178.25074768066406,105.31999969482422,84.15193176269531,37.955196380615234,108.02601623535156,0.0626058,0.66,-0.47,-0.54,-0.49,-0.33,0.021,25161.68,1551.36,4487.46,13917.89,34663.72
230912,44.85642623901367,45.54376322428386,45.97282416656624,175.20968627929688,105.30999755859375,82.71991729736328,38.22075271606445,108.95660400390625,0.0572627,-0.59,0.21,0.99,0.25,0.23,0.021,25852.36,1593.34,4461.9,13773.61,34645.99
230913,45.47124481201172,45.509834671020506,45.94046420820789,173.1326141357422,107.70999908447266,83.54366302490234,38.07322311401367,110.33777618408203,0.0504346,0.03,-0.87,-0.22,0.25,-0.36,0.021,26216.13,1607.52,4467.44,13813.59,34575.53
230914,45.56721496582031,45.553676478068034,45.91638385803432,174.65313720703125,106.62999725341797,85.37631225585938,38.033878326416016,111.70916748046875,0.0421189,0.84,0.49,0.86,0.82,0.02,0.021,26531.31,1626.97,4505.1,13926.05,34907.11
230915,43.886722564697266,45.533304850260414,45.78543796814161,173.9276580810547,101.48999786376953,83.42122650146484,37.256874084472656,110.82756042480469,0.0323123,-1.21,0.21,0.25,-0.33,0.5,0.021,26620.02,1642.53,4450.32,13708.33,34618.24
230918,43.952701568603516,45.509634780883786,45.667196910106895,176.86936950683594,102.37000274658203,83.25668334960938,37.36506652832031,110.44554138183594,-0.00522475,-0.04,-0.82,-0.19,0.2,-0.05,0.021,26767.54,1637.09,4453.53,13710.24,34624.3
