Date,Mkt-RF,SMB,HML,RMW,CMA,RF
230901,0.26,0.84,0.58,-0.03,-0.2,0.021
230905,-0.54,-1.58,-0.86,-0.3,-0.47,0.021
230906,-0.71,0.01,-0.18,-0.45,0.1,0.021
230907,-0.4,-0.69,0.03,-0.2,0.02,0.021
230908,0.12,-0.51,0.4,0.28,0.01,0.021
230911,0.66,-0.47,-0.54,-0.49,-0.33,0.021
230912,-0.59,0.21,0.99,0.25,0.23,0.021
230913,0.03,-0.87,-0.22,0.25,-0.36,0.021
230914,0.84,0.49,0.86,0.82,0.02,0.021
230915,-1.21,0.21,0.25,-0.33,0.5,0.021
230918,-0.04,-0.82,-0.19,0.2,-0.05,0.021
230919,-0.27,-0.11,0.0,0.32,0.31,0.021
230920,-0.95,-0.05,0.26,0.27,0.49,0.021
230921,-1.69,0.34,0.38,0.56,0.13,0.021
230922,-0.25,-0.09,-0.51,0.18,-0.19,0.021
230925,0.39,-0.06,0.33,0.58,-0.46,0.021
230926,-1.46,0.36,-0.51,-0.34,-0.07,0.021
230927,0.13,0.78,0.1,0.19,-0.28,0.021
230928,0.65,0.19,0.04,0.43,-0.03,0.021
230929,-0.27,-0.02,0.31,-0.19,-0.15,0.021
231002,-0.14,-1.28,-1.05,0.87,-0.52,0.021
231003,-1.5,-0.26,-0.15,0.3,0.14,0.021
231004,0.77,-0.53,-0.37,-0.39,-0.33,0.021
231005,-0.15,0.28,0.09,-0.46,-0.12,0.021
231006,1.21,-0.44,-0.55,-0.31,-0.52,0.021
231009,0.59,-0.16,0.26,0.82,-0.37,0.021
231010,0.61,0.33,0.62,-0.24,0.19,0.021
231011,0.32,-0.65,0.38,0.64,-0.25,0.021
231012,-0.81,-1.5,0.11,1.19,-0.22,0.021
231013,-0.59,-0.35,0.05,0.08,0.46,0.021
231016,1.14,0.58,-0.1,-0.36,-0.02,0.021
231017,0.09,1.05,0.68,-0.1,0.32,0.021
231018,-1.47,-0.61,-0.17,0.87,0.46,0.021
231019,-0.92,-0.54,-0.22,-0.05,0.01,0.021
231020,-1.32,0.09,-0.15,0.2,0.36,0.021
231023,-0.23,-0.58,-0.77,0.18,-0.43,0.021
231024,0.71,0.09,-0.58,-0.91,0.15,0.021
231025,-1.58,-0.02,0.85,1.48,0.21,0.021
231026,-1.15,1.18,1.68,-0.76,0.47,0.021
231027,-0.53,-0.58,-0.58,0.43,-0.96,0.021
231030,1.15,-0.33,0.28,-0.15,0.17,0.021
231031,0.63,0.05,-0.07,-0.85,0.06,0.021
231101,0.93,-0.68,-0.02,0.12,-0.71,0.021
231102,1.95,0.71,1.64,-0.23,0.53,0.021
231103,1.1,1.73,0.6,-1.19,0.18,0.021
231106,0.01,-1.22,-0.66,0.87,-0.2,0.021
231107,0.35,-0.41,-1.2,-1.26,-0.05,0.021
231108,-0.04,-1.01,-0.46,0.45,0.04,0.021
231109,-0.89,-1.01,0.5,0.53,-0.3,0.021
231110,1.49,-0.61,-0.45,0.74,-0.37,0.021
231113,-0.05,0.06,-0.26,-0.29,-0.17,0.021
231114,2.18,3.23,1.19,-0.98,-0.24,0.021
231115,0.18,0.13,0.5,-0.13,0.5,0.021
231116,-0.11,-1.5,-0.3,-0.45,-0.37,0.021
231117,0.25,1.22,0.62,0.03,0.36,0.021
231120,0.73,-0.11,-0.28,-0.3,-0.31,0.021
231121,-0.32,-0.96,-0.62,0.42,-0.03,0.021
231122,0.42,0.19,-0.04,-0.38,0.01,0.021
